City,Country,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Hurghada,EG,27.26,33.81,69.8,37,0,13.87
Jalu,LY,29.03,21.55,57.52,73,0,5.59
Uttarkāshi,IN,30.73,78.45,69.78,17,0,4.09
Puerto del Rosario,ES,28.5,-13.86,61.34,77,13,8.05
Harar,ET,9.31,42.13,70.45,38,13,10.6
Malumfashi,NG,11.79,7.62,77.23,26,98,8.3
Szczecinek,PL,53.71,16.7,30.15,74,16,13.02
Sterling,US,39.01,-77.43,41.38,81,90,10.29
Blackwater,AU,-23.58,148.88,87.28,36,8,12.91
Pacific Grove,US,36.62,-121.92,55.65,77,75,5.82
Selu,IN,19.47,76.47,98.49,16,1,1.57
Arnedo,ES,42.22,-2.1,41.13,100,75,5.82
Hay River,CA,60.82,-115.8,-7.6,83,20,6.93
Anthisnes,BE,50.48,5.52,28.22,90,0,2.24
Williams Lake,CA,52.14,-122.14,14.0,66,40,14.99
Parabel',RU,58.7,81.48,37.49,77,100,11.12
Lugovoy,KZ,42.95,72.76,63.61,37,99,2.73
Petrozavodsk,RU,61.78,34.35,30.2,80,96,11.18
Thinadhoo,MV,0.53,72.93,84.16,67,75,8.16
Arteaga,MX,18.47,-102.42,64.78,51,5,2.73
Aswān,EG,24.09,32.91,71.6,26,3,16.11
Rio Grande,BR,-32.03,-52.1,69.89,84,67,18.59
San Patricio,MX,19.22,-104.7,74.57,68,8,5.01
Ulagan,RU,50.63,87.96,41.97,36,0,4.09
San Vicente,AR,-26.62,-54.13,67.35,75,83,1.74
Skjervøy,NO,70.03,20.97,31.12,87,91,13.73
Ayan,RU,56.45,138.17,26.15,92,73,0.76
Neryungri,RU,56.67,124.65,29.23,74,100,8.46
Huarmey,PE,-10.07,-78.15,74.66,74,100,3.15
Kamyshin,RU,50.1,45.42,36.59,71,0,13.38
Bambous Virieux,MU,-20.34,57.76,81.73,88,40,4.7
Guangming,CN,45.33,122.78,58.24,27,0,15.43
Karatau,KZ,43.17,70.47,64.06,43,100,19.69
Turbat,PK,26.0,63.04,80.46,46,0,3.33
Muncie,US,40.19,-85.39,39.65,100,90,4.7
Nieves,PH,15.33,120.95,93.2,41,20,4.7
Moose Factory,CA,51.26,-80.61,26.6,73,1,4.7
Yurimaguas,PE,-5.9,-76.08,72.77,93,100,1.48
Henties Bay,NA,-22.12,14.28,59.0,92,0,3.0
Jiayuguan City,CN,39.82,98.3,44.42,27,37,15.32
Cujmir,RO,44.21,22.93,33.12,89,100,8.16
Port Lincoln,AU,-34.73,135.87,65.53,62,72,10.47
Belmonte,BR,-15.86,-38.88,75.2,94,75,5.82
Lavrentiya,RU,65.58,-171.0,21.94,97,100,8.14
Ust'-Ilimsk,RU,58.0,102.66,33.93,83,100,4.79
Amboasary,MG,-25.03,46.38,73.4,94,75,7.67
Kawambwa,ZM,-9.79,29.08,68.36,64,59,3.51
Matara,LK,5.95,80.54,89.85,51,28,9.64
Srednekolymsk,RU,67.45,153.68,13.93,94,57,4.21
Hwange,ZW,-18.37,26.5,73.99,53,3,2.77
Katsuura,JP,35.13,140.3,55.08,100,90,9.17
Ostrovnoy,RU,68.05,39.51,21.38,94,100,17.27
Umm Kaddadah,SD,13.6,26.69,86.38,10,3,11.56
Esperantina,BR,-3.9,-42.23,74.34,94,100,1.36
Alofi,NU,-19.06,-169.92,84.2,79,87,4.7
Acaraú,BR,-2.89,-40.12,76.84,90,100,6.4
Xining,CN,36.62,101.77,47.46,20,49,9.19
Grand-Santi,GF,4.25,-54.38,71.8,95,99,1.34
Primo Tapia,MX,32.22,-116.92,58.33,87,75,2.35
Oodweyne,SO,9.41,45.06,79.9,41,9,12.46
Kindu,CD,-2.95,25.95,73.51,83,100,1.92
Bambanglipuro,ID,-7.95,110.28,84.99,70,47,5.93
Kemijärvi,FI,66.71,27.43,19.45,94,100,11.63
Itirapina,BR,-22.25,-47.82,64.49,76,0,3.15
Osoyoos,CA,49.03,-119.45,34.65,74,75,4.7
Agüimes,ES,27.91,-15.45,63.79,77,40,6.93
Aykhal,RU,66.0,111.5,5.0,71,20,11.18
Kiryat Gat,IL,31.61,34.76,56.48,77,75,13.87
Acajutla,SV,13.59,-89.83,71.01,96,0,3.0
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,71.01,99,93,1.99
Tetecala,MX,18.72,-99.4,76.78,30,37,1.72
Awjilah,LY,29.11,21.29,57.13,74,0,4.85
Miandrivazo,MG,-19.52,45.47,83.3,55,0,1.28
Grindavik,IS,63.84,-22.43,34.74,68,75,16.11
Abéché,TD,13.83,20.83,86.05,12,21,10.78
Ugoofaaru,MV,5.67,73.0,84.97,72,69,8.7
Sarāhan,IN,31.52,77.8,52.34,26,2,4.5
Vostok,RU,46.49,135.88,37.17,55,0,8.01
Byron Bay,AU,-28.65,153.62,80.51,69,40,11.41
Yar-Sale,RU,66.83,70.83,10.56,93,3,0.81
Hokitika,NZ,-42.72,170.97,60.31,74,32,5.46
Mocuba,MZ,-16.84,36.99,74.55,71,0,2.51
Vangaindrano,MG,-23.35,47.6,78.73,74,23,4.43
Grand-Lahou,CI,5.14,-5.02,80.65,87,89,9.57
Goedereede,NL,51.82,3.98,32.41,100,0,2.24
Tucupita,VE,9.06,-62.05,68.09,85,75,3.06
San Quintín,MX,30.48,-115.95,60.73,74,91,7.45
Ningxiang,CN,37.34,111.21,38.26,53,100,5.14
San Jerónimo,PE,-11.95,-75.28,46.74,29,80,2.46
Spearfish,US,44.49,-103.86,38.5,100,90,4.12
Vysokogornyy,RU,50.12,139.15,33.42,64,33,14.34
Horta,PT,38.53,-28.63,56.57,71,100,32.73
Saquarema,BR,-22.92,-42.51,75.2,94,40,3.36
Uruçuí,BR,-7.23,-44.56,75.76,80,99,1.79
Peace River,CA,56.25,-117.29,10.4,60,90,13.87
Bonnyville,CA,54.27,-110.73,-0.4,64,20,6.93
Samarai,PG,-10.62,150.67,81.81,80,99,6.73
Esim,GH,4.87,-2.24,79.88,91,76,7.45
Bayan,CN,46.08,127.4,53.01,18,0,15.41
Susanino,RU,58.15,41.59,26.2,87,50,8.34
Mahina,PF,-17.51,-149.49,82.2,78,1,3.36
Mount Darwin,ZW,-16.77,31.58,70.65,52,0,0.69
Goderich,CA,43.75,-81.72,40.87,87,100,9.95
Hamilton,US,39.18,-84.53,41.22,87,90,8.05
Rāghogarh,IN,24.45,77.2,93.72,11,0,10.92
Banjar,ID,-8.19,114.97,89.6,70,20,10.29
Namatanai,PG,-3.67,152.43,82.8,77,41,11.61
College,US,64.86,-147.8,21.13,32,40,4.7
Hastings,GB,50.86,0.57,32.11,100,0,1.12
Machico,PT,32.7,-16.77,55.6,58,20,12.75
Ketchikan,US,55.34,-131.65,35.22,47,1,16.11
Hays,US,30.05,-98.03,57.61,87,1,8.05
Kapiri Mposhi,ZM,-13.97,28.68,66.54,56,0,4.9
Hargeisa,SO,9.56,44.06,77.43,39,24,7.83
Esil,KZ,51.96,66.4,34.2,82,100,12.48
Mitsamiouli,KM,-11.38,43.28,83.62,74,48,11.21
Broome,US,42.25,-75.83,39.92,93,90,6.93
Waverley,ZA,-25.7,28.26,61.86,77,98,4.7
Pristina,XK,42.67,21.17,27.93,86,90,5.82
